schema,entity,description,croissance,partitionnement,indexation_minimale,audit
dcim,WeightCapacity,Entité logique WeightCapacity du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,SpaceCapacity,Entité logique SpaceCapacity du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,DigitalTwinObject,Entité logique DigitalTwinObject du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,CoordinateXYZ,Entité logique CoordinateXYZ du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,QRCode,Entité logique QRCode du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RIR,Entité logique RIR du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,LIR,Entité logique LIR du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,ASN,Entité logique ASN du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,ASNRange,Entité logique ASNRange du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,BGPCommunity,Entité logique BGPCommunity du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RoutePolicy,Entité logique RoutePolicy du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RouteTarget,Entité logique RouteTarget du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RouteDistinguisher,Entité logique RouteDistinguisher du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VRF,Entité logique VRF du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RoutingDomain,Entité logique RoutingDomain du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,Aggregate,Entité logique Aggregate du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,Prefix,Entité logique Prefix du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,IPRange,Entité logique IPRange du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,IPAddress,Entité logique IPAddress du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,IPReservation,Entité logique IPReservation du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,IPAddressAssignment,Entité logique IPAddressAssignment du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,InterfaceIPAddress,Entité logique InterfaceIPAddress du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VLAN,Entité logique VLAN du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VLANGroup,Entité logique VLANGroup du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VXLANVNI,Entité logique VXLANVNI du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,EVPNSegment,Entité logique EVPNSegment du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,MPLSLabel,Entité logique MPLSLabel du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,L2VPN,Entité logique L2VPN du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,NATRule,Entité logique NATRule du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,NATPool,Entité logique NATPool du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VIP,Entité logique VIP du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,AnycastAddress,Entité logique AnycastAddress du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,Loopback,Entité logique Loopback du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,PointToPointLink,Entité logique PointToPointLink du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DHCPServer,Entité logique DHCPServer du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DHCPScope,Entité logique DHCPScope du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DHCPLease,Entité logique DHCPLease du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DHCPOption,Entité logique DHCPOption du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DNSZone,Entité logique DNSZone du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DNSRecord,Entité logique DNSRecord du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,ReverseZone,Entité logique ReverseZone du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,PTRRecord,Entité logique PTRRecord du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,DDITransaction,Entité logique DDITransaction du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RPKIROA,Entité logique RPKIROA du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,RPKIValidation,Entité logique RPKIValidation du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,AddressPlan,Entité logique AddressPlan du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,CapacityForecast,Entité logique CapacityForecast du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,IPConflict,Entité logique IPConflict du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,OverlapPolicy,Entité logique OverlapPolicy du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,Gateway,Entité logique Gateway du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,FHRPGroup,Entité logique FHRPGroup du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,HSRPGroup,Entité logique HSRPGroup du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,VRRPGroup,Entité logique VRRPGroup du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,GLBPGroup,Entité logique GLBPGroup du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
ipam,MACAddress,Entité logique MACAddress du domaine ipam.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,Collector,Entité logique Collector du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,CollectorGroup,Entité logique CollectorGroup du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,DiscoveryJob,Entité logique DiscoveryJob du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,DiscoverySchedule,Entité logique DiscoverySchedule du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,DiscoveryScope,Entité logique DiscoveryScope du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,DiscoveryCredential,Entité logique DiscoveryCredential du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,SNMPCredential,Entité logique SNMPCredential du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,SSHCredential,Entité logique SSHCredential du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,WinRMCredential,Entité logique WinRMCredential du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,CloudCredential,Entité logique CloudCredential du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,DiscoveryObservation,Entité logique DiscoveryObservation du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,ScanResult,Entité logique ScanResult du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,ScanTarget,Entité logique ScanTarget du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,SNMPObservation,Entité logique SNMPObservation du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
discovery,SSHObservation,Entité logique SSHObservation du domaine discovery.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
