id,phase,stream,priority,title,summary,deliverables,dependencies,acceptance
EPIC-0303,P03,STR-PKG,P1,Installation automatique des dépendances,"Détecter OS, configurer dépôts si autorisé et installer dépendances requises.",Dependency resolver; logs; rollback.,P03,Blocage explicite si dépendance critique indisponible.
EPIC-0304,P03,STR-PKG,P1,"Dry-run, impact plan et rollback","Implémenter dry-run, plan d’impact, sauvegarde avant modification et rollback.",Installer modes; reports; tests.,P03,Dry-run ne modifie pas le système.
EPIC-0305,P03,STR-PKG,P1,Validation réseau minimale,Valider FQDN/IP/mask/VIP/GW/DNS fournis par opérateur.,Network validator; errors.,P03,L’installateur détecte incohérences IP/VIP/DNS.
EPIC-0306,P03,STR-QA,P1,Tests installateurs multi-OS,Automatiser tests installateurs RHEL/Ubuntu/Debian/SUSE selon cible.,CI matrix; containers/VM; reports.,P03,Chaque installateur passe smoke install.
EPIC-0401,P04,STR-SRE,P1,Service backend canonique openinfra.service,Définir openinfra.service comme service backend unique pour toutes éditions.,Unit systemd; docs; tests.,P03,ancien service backend obsolète est interdit et absent.
EPIC-0402,P04,STR-SRE,P1,Service frontend openinfra-web.service,Définir service web React/Bootstrap 5 consommant uniquement API backend.,Unit systemd; reverse proxy; tests.,P04,Le web ne se connecte jamais directement à PostgreSQL.
EPIC-0403,P04,STR-SRE,P1,Service agent openinfra-agent.service,Définir service collecteur discovery alimentant la BDD centrale via API.,Unit systemd; mTLS; config.,P04,L’agent n’a aucun accès direct DB.
EPIC-0404,P04,STR-PKG,P1,Packages OS par scope,"Construire packages backend, web, agent et all-in-one selon éditions.",RPM/DEB; manifests; checksums.,P03,Packages installables et désinstallables proprement.
EPIC-0405,P04,STR-SRE,P1,"Health, readiness et logs services","Ajouter health checks, journald, logs JSON et diagnostics par service.",Health endpoints; log config.,P04,systemctl status et doctor exposent état utile.
EPIC-0406,P04,STR-QA,P1,Tests interdiction services obsolètes,Valider absence ancien service backend obsolète et noms invariants.,Tests packaging; scan artefacts.,P04,CI échoue si service obsolète réapparaît.
EPIC-0501,P05,STR-DATA,P1,FS applicatif /opt/openinfra,Créer/valider LV applicatif rootvg/openinfra_lv monté /opt/openinfra/ owner openinfra pour tous les scopes applicatifs incluant enterprise/agent.,LVM scripts; install.ini; tests.,P03,/opt/openinfra/ a owner openinfra:openinfra; enterprise/agent reste sans PostgreSQL ni PGDATA.
EPIC-0502,P05,STR-DATA,P1,FS PostgreSQL /data/openinfra,Créer/valider datavg/openinfradata_lv monté /data/openinfra/ avec taille par édition.,LVM scripts; matrix; tests.,P03,"Lite=2GB, Pro=100GB, Entreprise=1TB."
EPIC-0503,P05,STR-DATA,P1,PGDATA réel sous /data/openinfra,Initialiser PostgreSQL avec PGDATA=/data/openinfra/ adapté au chemin réel du packaging.,initdb; service override; docs.,P05,PostgreSQL démarre avec PGDATA sur /data/openinfra/.
EPIC-0504,P05,STR-DATA,P1,Symlink /opt/openinfra/data,Créer /opt/openinfra/data -> /data/openinfra/ avec ownership du gestionnaire PostgreSQL.,Symlink script; validation.,P05,"Symlink valide, owner résolu par installateur."
EPIC-0505,P05,STR-DATA,P1,Compte système PostgreSQL logique,Résoudre ou créer le compte système gestionnaire PostgreSQL selon OS/package sans imposer un nom.,Resolver; docs; tests.,P05,Le nom effectif est détecté et audité.
EPIC-0506,P05,STR-DATA,P1,Migrations backend automatiques,Appliquer toutes les migrations backend dans le scope openinfra.service avant démarrage final.,Migration runner; locks; rollback.,P05,Frontend/agent ne peuvent pas appliquer de migrations.
EPIC-0601,P06,STR-DATA,P1,Cluster PostgreSQL autonome,"Configurer primaire/réplicas, pooling, routage et VIP à partir des paramètres install.ini.",Patroni/équiv.; HAProxy; PgBouncer.,P05,Cluster bootstrappé sans expertise opérateur.
EPIC-0602,P06,STR-DATA,P1,Synchronisation quasi temps réel,Configurer synchronisation quasi temps réel par défaut en mode cluster.,Config replication; monitoring.,P06,Replication lag surveillé et seuils définis.
EPIC-0603,P06,STR-DATA,P1,Mode strict optionnel,Ajouter option stricte pour écritures critiques selon contraintes RPO.,Config; docs; tests.,P06,Mode strict documenté et testable.
EPIC-0604,P06,STR-SRE,P1,PITR et sauvegardes,"Configurer WAL archiving, sauvegarde chiffrée, rétention et restauration.",pgBackRest/équiv.; runbook.,P06,Restauration PITR démontrée.
EPIC-0605,P06,STR-QA,P1,Tests failover sous charge,Valider bascule primaire pendant charge API/import.,Test chaos; reports.,P06,"Aucune corruption, reprise contrôlée."
EPIC-0606,P06,STR-SRE,P1,Dashboards PostgreSQL,"Livrer métriques locks, lag, bloat, cache, I/O, connexions et requêtes lentes.",Grafana; Prometheus; alertes.,P06,Alertes critiques visibles.
EPIC-0701,P07,STR-SEC,P1,Auth locale Lite,Livrer authentification autonome Lite avec maximum 5 utilisateurs.,Auth service; tests.,P02,Lite fonctionne sans LDAP/IPA.
EPIC-0702,P07,STR-SEC,P1,LDAP/LDAPS Pro/Entreprise,Intégrer LDAP/LDAPS pour Pro et Entreprise.,LDAP connector; config; docs.,P07,Login LDAP audité et sécurisé TLS.
EPIC-0703,P07,STR-SEC,P1,IPA/FreeIPA Pro/Entreprise,"Intégrer IPA/FreeIPA, groupes, certificats et mapping.",IPA connector; config; tests.,P07,Groupes IPA mappés vers rôles OpenInfra.
EPIC-0704,P07,STR-BE,P1,RBAC par groupes utilisateurs,"Appliquer permissions par groupes/rôles, tenants, sites et scopes.",RBAC engine; tests.,P07,Refus et autorisations testés.
EPIC-0705,P07,STR-SEC,P1,Audit IAM,"Journaliser connexions, refus, changements mapping et élévations.",Audit events; reports.,P07,Audit immuable/append-only selon cible.
EPIC-0706,P07,STR-QA,P1,Tests sécurité IAM,"Tester injection LDAP, bypass RBAC, session, MFA/SSO quand applicable.",Security tests.,P07,Aucun contournement RBAC connu.
EPIC-0801,P08,STR-FE,P1,Frontend React + Bootstrap 5 shell,"Créer interface web, navigation, layout, auth shell et composants communs.",React app; Bootstrap 5; tests.,P01,Application web démarre et consomme API backend.
EPIC-0802,P08,STR-FE,P1,Parité CLI/API/UI,Définir matrice commande CLI→API→UI et implémenter workflows essentiels.,Matrix; UI flows; tests.,P08,Aucune fonctionnalité CLI majeure sans parcours UI/API.
EPIC-0803,P08,STR-FE,P1,Tables paginées et filtres indexés,"Implémenter listes API cursor-based, filtres et tri contrôlé.",Components; API integration.,P08,UI n’appelle jamais d’endpoint non paginé.
EPIC-0804,P08,STR-FE,P1,Administration éditions et quotas,"Afficher édition active, limites, alertes de quotas et capacités.",Screens; alerts.,P02,Quota visible avant refus opérationnel.
EPIC-0805,P08,STR-FE,P1,Accessibilité et navigation responsive adaptative,"Fournir une navigation et des formulaires accessibles, compacts et sans perte fonctionnelle sur desktop, portable, tablette et mobile, selon WCAG 2.2 AA.",Navigation responsive; calendriers date/date-heure thémés; validation anticipée des saisies libres; normalisation ISO 8601; focus sans épaississement; tests a11y et frontend; documentation UX.,P08,"Toutes les opérations restent accessibles ; dates et horodatages sont choisis via calendrier et normalisés ; IP, CIDR, téléphone, email, code postal, MAC, URL, DNS, JSON et nombres invalides sont refusés avant soumission ; le focus ne modifie pas l’épaisseur du contour ; React et runtime packagé restent alignés."
EPIC-0806,P08,STR-QA,P1,Tests E2E UI,"Automatiser parcours login, RSOT, IPAM, DCIM, install status et admin.",E2E suite.,P08,Parcours critiques stables en CI.
EPIC-0807,P08,STR-FE,P1,Internationalisation web FR/EN,"Internationaliser tous les composants du portail en français et anglais avec détection navigateur, fallback anglais et sélection persistante.",Moteur i18n partagé React/runtime; catalogues FR/EN; sélecteur; tests; documentation.,EPIC-0801,Toutes les chaînes de présentation sont localisées sans modifier les identifiants métier ni les valeurs API ; toute langue non supportée bascule sur EN.
EPIC-0901,P09,STR-BE,P1,Objets RSOT (Ressource Source of Truth),"Livrer devices, interfaces, services, applications, relations et tags.",Domain model; API; UI.,P01,CRUD et historisation fonctionnent.
EPIC-0902,P09,STR-BE,P1,Gouvernance sources autoritatives,Définir source autoritative par attribut et priorité des sources.,Governance service; rules.,P09,Conflit source ne provoque jamais d’écrasement silencieux.
EPIC-0903,P09,STR-BE,P1,Qualité et certification données,"Calculer scores qualité, fraîcheur et confiance.",Quality engine; dashboards.,P09,Objets incomplets et incohérents visibles.
EPIC-0904,P09,STR-DATA,P1,Historique time travel,Restituer état à date pour objets et relations.,History schema; API as-of.,P09,Reconstruction à date validée.
EPIC-0905,P09,STR-BE,P1,Audit objet,Tracer toute modification critique avec source et corrélation.,Audit events; UI.,P09,Audit consultable par objet.
EPIC-0906,P09,STR-QA,P1,Tests réconciliation,"Tester fusion, conflit, source prioritaire et résolution.",Test suite.,P09,Réconciliation reproductible et auditée.
EPIC-1001,P10,STR-BE,P1,Modèle physique DCIM,"Livrer sites, bâtiments, étages, salles, zones, lignes, colonnes, X/Y/Z.",Model; API; UI.,P09,Localisation obligatoire pour équipement physique.
EPIC-1002,P10,STR-FE,P1,Plans 2D et rack elevation,"Afficher salles, racks, faces, U, équipements et QR codes.",UI plans; exports.,P10,Technicien localise sans ambiguïté.
EPIC-1003,P10,STR-BE,P1,Câblage et chemins,"Modéliser ports, patch panels, câbles, conduits et chemins.",Cable model; UI.,P10,Chemin câble traçable de bout en bout.
EPIC-1004,P10,STR-BE,P1,PDU énergie et refroidissement,"Modéliser PDU, UPS, chaînes A/B, capteurs et capacité.",Power/cooling model.,P10,Capacité espace/poids/énergie visible.
EPIC-1005,P10,STR-BE,P2,Jumeau numérique initial,Créer représentation numérique cohérente salle/rack/énergie/câblage.,Digital twin baseline.,P10,Vue consolidée exploitable.
EPIC-1006,P10,STR-QA,P1,Tests contraintes localisation,"Valider ligne/colonne/X/Y/Z, rack/U et conflits de placement.",Constraint tests.,P10,Placement incohérent refusé.
EPIC-1101,P11,STR-BE,P1,Core IPAM IPv4/IPv6/VRF,"Livrer VRF, prefixes, IP ranges, adresses et validations CIDR.",IPAM model; API.,P09,IPv4/IPv6 fonctionnent par VRF.
EPIC-1102,P11,STR-BE,P1,Allocation IP transactionnelle,"Implémenter next-available-IP avec transactions, locks fins, idempotency keys.",Allocation service.,P11,Concurrence sans collision.
EPIC-1103,P11,STR-BE,P1,DDI DNS/DHCP,"Corréler DNS, reverse, DHCP scopes/leases et réservations.",DDI connectors; checks.,P11,Conflits DNS/DHCP/IPAM détectés.
EPIC-1104,P11,STR-BE,P1,ASN/BGP/EVPN/VXLAN/MPLS/NAT,Ajouter objets réseau avancés et relations IPAM.,Advanced network model.,P11,Objets avancés exposés API/UI.
EPIC-1105,P11,STR-DATA,P1,Indexation IPAM massive,"Optimiser inet/cidr, VRF/site, partitions et requêtes critiques.",Indexes; benchmarks.,P11,Recherche IPAM VRF < objectifs.
EPIC-1106,P11,STR-QA,P1,Tests IPAM charge,"Tester forte volumétrie, pagination et allocations concurrentes.",Load tests.,P11,Objectifs p95/p99 mesurés.
EPIC-1201,P12,STR-BE,P1,Modèle ITAM actif physique,"Livrer lifecycle actif, propriétaires, coûts, statuts et localisations.",ITAM model; API; UI.,P09,Actifs liés au RSOT/DCIM.
EPIC-1202,P12,STR-BE,P1,Garantie constructeur obligatoire,Stocker garantie constructeur obligatoire sur équipement physique.,Warranty model; validations.,P12,Equipement physique incomplet refusé ou marqué non conforme.
EPIC-1203,P12,STR-BE,P1,Support constructeur initial,Stocker support constructeur initial sans écrasement.,Support model; UI.,P12,Support constructeur visible et non destructible.
EPIC-1204,P12,STR-BE,P1,Support tiers séparé,Ajouter support tiers sans remplacer constructeur.,Third-party contract model.,P12,Support tiers crée relation séparée.
EPIC-1205,P12,STR-BE,P2,Licences et contrats,"Livrer logiciels, licences, garanties, contrats, EOL/EOS.",Contracts; lifecycle.,P12,Rapports conformité disponibles.
EPIC-1206,P12,STR-QA,P1,Tests non-écrasement support,Tester imports/discovery/API empêchant écrasement constructeur par tiers.,Regression tests.,P12,Aucune source tiers n’écrase constructeur.
EPIC-1301,P13,STR-BE,P1,Imports massifs async,"Livrer imports CSV/XLSX/JSON/API avec dry-run, mapping, validation, reprise.",Import service; UI.,P09,Import 1M lignes reprenable.
EPIC-1302,P13,STR-BE,P1,Exports async et streaming,"Livrer exports massifs asynchrones, signés et filtrés.",Export service.,P13,Aucun export massif synchrone.
EPIC-1303,P13,STR-BE,P1,Connecteur ServiceNow externe,Synchroniser CI/liens tickets sans ITSM intégré pour Pro/Entreprise.,Connector; docs.,P13,Aucun objet ticket natif OpenInfra.
EPIC-1304,P13,STR-BE,P1,Connecteurs Jira/GLPI/Freshservice,Ajouter connecteurs ITSM externes Pro/Entreprise.,Connectors; tests.,P13,Connecteurs isolés par feature gates.
EPIC-1305,P13,STR-QA,P1,Tests rollback import,"Valider rollback, conflicts et reprise après crash.",Integration tests.,P13,Import interrompu reprend sans doublons.
EPIC-1306,P13,STR-DOC,P2,Guides migration données,Documenter migrations depuis Device42/NetBox/GLPI/CSV.,Migration guides.,P13,Migration pilote documentée.
EPIC-1401,P14,STR-DISC,P1,Discovery locale Lite/Pro,Livrer discovery locale sans agent proxy pour Lite/Pro.,Discovery jobs; UI.,P11,Discovery active selon limites édition.
EPIC-1402,P14,STR-DISC,P1,Agent Enterprise,Livrer openinfra-agent.service comme collecteur régional/site.,Agent; mTLS; config.,P04,Agent publie résultats via API.
EPIC-1403,P14,STR-DISC,P1,Protocoles SNMP/SSH/WinRM,Implémenter protocoles de base sécurisés.,Connectors; secrets.,P14,"Secrets masqués, rate limit actif."
EPIC-1404,P14,STR-DISC,P1,VMware/Proxmox/Hyper-V/Kubernetes/Cloud,"Ajouter discovery virtualisation, cloud et Kubernetes.",Connectors.,P14,Assets découverts rapprochés.
EPIC-1405,P14,STR-DISC,P1,Réconciliation multisource,"Calculer preuve, score confiance et conflits.",Reconciliation engine.,P09,Aucun écrasement silencieux.
EPIC-1406,P14,STR-QA,P1,Tests crash worker/agent,"Valider reprise jobs, DLQ, idempotence et non-perte.",Resilience tests.,P14,Panne agent ne perd pas job validé.
EPIC-1501,P15,STR-BE,P1,Dependency graph,"Livrer graphe applications, services, réseau, stockage, DCIM et alimentation.",Graph service; UI.,P09,Impact graph exploitable.
EPIC-1502,P15,STR-BE,P1,Matrice de flux,Comparer flux déclarés et observés NetFlow/sFlow/IPFIX/logs.,Flow model; UI.,P15,Flux orphelins et non autorisés visibles.
EPIC-1503,P15,STR-BE,P1,Certificats et PKI,"Inventorier certificats, chaînes, SAN, expiration, propriétaires et endpoints.",Cert module.,P15,Certificats expirants détectés.
EPIC-1504,P15,STR-BE,P1,Conformité réseau golden config,"Comparer config attendue et découverte, détecter drift.",Config compliance.,P15,Drift réseau rapporté.
EPIC-1505,P15,STR-FE,P1,Visualisations impact et SPOF,"Afficher sous RSOT les graphes, chemins, impacts, SPOF, filtres et exports sans créer de composant autonome.",Parcours RSOT Exploration; Analyse d’impact; Exports; Graph UI accessible.,P15,Les SPOF critiques sont identifiés et toutes les fonctions Graphe sont rangées sous RSOT dans les deux runtimes web.
EPIC-1506,P15,STR-QA,P1,Tests graphes volumétriques,"Valider performances graphe, pagination et filtres.",Performance tests.,P15,Graphe 1 niveau sous objectif.
EPIC-1601,P16,STR-BE,P2,Field Operations mobile/offline,"Livrer fiches intervention, QR, checklists, photos et mode offline.",Mobile web; sync.,P10,Intervention terrain guidée.
EPIC-1602,P16,STR-BE,P2,Simulation changement/migration,"Simuler déplacement, coupure, VLAN, subnet, migration et impacts.",Simulation engine.,P15,Rapport avant/après généré.
EPIC-1603,P16,STR-BE,P2,FinOps et coûts,"Rattacher coûts cloud, datacenter, licences, énergie et contrats.",Cost model; reports.,P12,Showback par service/tenant.
EPIC-1604,P16,STR-BE,P2,GreenOps,"Calculer énergie, PUE, CO2 estimé et recommandations capacité.",Sustainability module.,P10,Rapports énergie par site/rack.
EPIC-1605,P16,STR-BE,P2,SBOM/vulnérabilités/exposition,"Importer SBOM, lier CVE, exposition et criticité métier.",SBOM registry.,P12,Risque contextualisé disponible.
EPIC-1606,P16,STR-BE,P2,RAG gouverné,Livrer recherche naturelle et assistant RAG avec citations et permissions.,RAG service; audit.,P09,"Réponse filtrée par droits, aucune action destructive."
EPIC-1701,P17,STR-MSITE,P1,Modèle multisite Pro,Livrer multisite centralisé Pro avec RBAC par site et rapports.,Site model; reports.,P07,Pro gère plusieurs sites sans agents régionaux.
EPIC-1702,P17,STR-MSITE,P1,Modèle multisite Entreprise,Livrer multisite distribué avec agents régionaux et discovery par site/région/VRF.,Regional agents; routing.,P14,Entreprise découvre par région via agents.
EPIC-1703,P17,STR-MSITE,P1,DR multisite,"Définir réplication, restauration et bascule intersite.",DR runbooks; tests.,P06,Scénario perte site testé.
EPIC-1704,P17,STR-SRE,P1,PRA/PCA complets,"Documenter et valider RPO/RTO, sauvegardes, PITR et procédures.",Runbooks; evidence.,P17,RTO/RPO mesurés.
EPIC-1705,P17,STR-SRE,P1,Observabilité multisite,"Mesurer lag agents, DB, API, jobs, health par site.",Dashboards; alerts.,P17,Alertes par site visibles.
EPIC-1706,P17,STR-QA,P1,Chaos multisite,"Tester pannes réseau, site, agent, DB, file et frontend.",Chaos reports.,P17,Dégradation contrôlée sans corruption.
EPIC-1801,P18,STR-QA,P1,Benchmarks enterprise scale,"Exécuter charge API, IPAM, imports, discovery, DB et graphes.",Benchmark reports.,P06-P17,Objectifs p95/p99 atteints ou écarts acceptés.
EPIC-1802,P18,STR-SEC,P1,Audit sécurité release,"Exécuter SAST, DAST, dependency scan, secrets scan, container scan, RBAC tests.",Security reports.,P18,Aucune vulnérabilité critique ouverte.
EPIC-1803,P18,STR-SRE,P1,Validation packaging release,"Vérifier packages, installateurs, checksums, SBOM, signatures et rollback.",Release artefacts.,P03-P18,Artefacts reproductibles et validés.
EPIC-1804,P18,STR-DOC,P1,Documentation GA,"Finaliser guides admin, utilisateur, API, installateurs, exploitation, PRA/PCA et upgrade.",Docs GA.,P18,Docs suffisantes pour production.
EPIC-1805,P18,STR-PROD,P1,Go/No-Go GA,"Consolider critères business, tech, sécurité, support et exploitation.",Go/No-Go report.,P18,GA signée ou refus motivé.
EPIC-1806,P18,STR-SRE,P1,Support et maintenance release,"Définir SLA support projet, lifecycle version, patch policy et migration.",Support model.,P18,Process release/support opérationnel.
EPIC-1901,P19,STR-ARCH,P1,Runtime ASGI API/Web,Introduire ASGI stateless et multiprocessus avec backpressure et rollback legacy contrôlé.,Adaptateurs ASGI ; politiques workers ; lifespan ; configuration ; runbook.,P01;P07;P08,API/Web Pro et Entreprise démarrent sur ASGI par défaut et conservent les contrats publics.
EPIC-1902,P19,STR-DATA,P1,Pool PostgreSQL borné,Créer un pool par worker avec timeout et budget global par édition.,psycopg_pool ; paramètres ; tests acquisition/restitution ; métriques de saturation.,EPIC-1901;P06,Une configuration dépassant le budget est refusée ; aucune connexion n’est ouverte par requête.
EPIC-1903,P19,STR-FE,P1,BFF HTTP persistant et streaming,Remplacer les appels bloquants par un client asynchrone persistant et relayer les flux sans buffering complet.,Pool HTTP ; keep-alive ; timeouts ; streaming ; limites de corps ; tests erreurs.,EPIC-1901,Les appels réutilisent les connexions et les exports sont streamés avec sécurité inchangée.
EPIC-1904,P19,STR-QA,P1,Gate architecture haute performance,"Ajouter tests ASGI, pools, budgets, sécurité, contrôle CI bloquant et rapport p95/p99 de transport explicitement non certifiant pour la capacité.",Tests intégration ; quality guard ; benchmark transport p95/p99 ; rapport JSON ; smoke wheel.,EPIC-1901;EPIC-1902;EPIC-1903,"La CI refuse un runtime non borné, une configuration non budgétée ou une régression transport p95/p99 ; le rapport porte capacity_certification=false et renvoie la certification système à P20."
EPIC-1905,P19,STR-DOC,P1,CDC 4.9.0 et roadmap 2.1.0,"Réaligner décisions, exigences, ADR, risques, tests et séquencement.",CDC ; roadmap ; matrices ; ADR ; runbooks ; traçabilité.,Aucun,"REQ-00829 à REQ-00840 disposent d’une phase, d’un epic, d’une release et d’un test."
EPIC-2001,P20,STR-DATA,P1,PgBouncer et routage lecture/écriture,"Déployer transaction pooling, pools de rôles et réplicas contrôlées par le lag.",PgBouncer ; DSN primaire/read ; health/lag ; sticky primary ; tests failover.,P06;EPIC-1902,Le primaire est protégé et les lectures éligibles basculent sans incohérence.
EPIC-2002,P20,STR-BE,P1,Pagination curseur et streaming données,Remplacer OFFSET sur collections non bornées et généraliser curseurs serveur/streaming.,Curseurs opaques ; index ; compatibilité ; exports streaming.,EPIC-2001;P09-P16,La latence reste stable sur pages profondes et aucun parcours ne duplique ou omet les lignes.
EPIC-2003,P20,STR-ASYNC,P1,Outbox et workers spécialisés,"Découpler imports, rapports, graphes, RAG et artefacts du chemin interactif.",Outbox transactionnelle ; workers ; DLQ ; idempotence ; stockage objet.,P07;P14;P16,Aucun effet n’est perdu et les traitements longs n’immobilisent pas les workers HTTP.
EPIC-2004,P20,STR-FE,P1,Frontend modulaire et virtualisé,"Découper par domaine, charger à la demande, mettre en cache les requêtes et virtualiser les volumes.",Chunks Vite ; query cache ; AbortController ; virtualisation ; Web Vitals.,P08;EPIC-1903,Le Dashboard respecte les budgets de bundle et ne charge aucun catalogue inutile.
EPIC-2005,P20,STR-SRE,P1,Observabilité et charge Enterprise,"Mesurer saturation de bout en bout et certifier p95/p99 en paliers, endurance, spike et chaos sur une topologie Pro/Entreprise représentative.","OpenTelemetry ; Prometheus ; dashboards ; alertes ; rapports versionnés de capacité, endurance et chaos.",EPIC-1904;EPIC-2001-EPIC-2004,"Les SLO sont calculables et la qualification de capacité est bloquée tant que p95/p99, saturation, récupération et absence de fuite ne respectent pas les seuils."
EPIC-2101,P21,STR-DISC,P1,Inventaire Kubernetes et topologie physique,"Versionner clusters, namespaces, nodes, workloads, pods, services, ingress, network policies et volumes puis relier les nodes au RSOT/DCIM.",Snapshots immuables; API; CLI; UI; PostgreSQL partitionné; graphe Kubernetes→physique.,P14;P15;P20,"Un snapshot est idempotent, référentiellement valide et produit un graphe déterministe jusqu’au site."
EPIC-2102,P21,STR-BE,P1,Expositions et dépendances réseau cloud-native,"Corréler ingress, load balancers, DNS, services et service mesh avec les flux et dépendances existants.",Graphe exposition; dépendances réseau; conformité flux; API/CLI/UI.,EPIC-2101;P11;P15,Chaque exposition externe est traçable jusqu’au workload et aux dépendances réseau.
EPIC-2103,P21,STR-SEC,P1,Corrélation images SBOM certificats et secrets référencés,"Associer images, SBOM, certificats et références de secrets sans ingérer de secret en clair.",Corrélation sécurité; findings contextualisés; règles de non-exposition.,EPIC-2101;P16,Une image ou exposition vulnérable est corrélée au workload sans secret stocké en clair.
EPIC-2104,P21,STR-ARCH,P1,Conformité GitOps et dérive observée,"Comparer l’état attendu GitOps à l’état observé et gouverner labels, annotations, owners et environnements.",Snapshots attendus/observés; drift; politiques; audit.,EPIC-2101,"Toute dérive est explicite, versionnée et ne déclenche aucune correction silencieuse."
EPIC-2105,P21,STR-SRE,P1,Capacité cluster et namespace,"Mesurer demandes, limites et consommation CPU, mémoire et stockage par cluster et namespace.",Read models capacité; tendances; alertes; exports.,EPIC-2101;P20,Les saturations et marges sont calculables sans scans non bornés.
EPIC-2106,P21,STR-QA,P1,Qualification cloud-native et gate REL-11,"Valider multi-cluster, scale, sécurité, dérive, mapping physique, performance et documentation.",Suite de tests; benchmarks; chaos; GATE-10; runbooks.,EPIC-2101-EPIC-2105,REL-11 est promue uniquement si les preuves cloud-native sont complètes et certifiées.
