id,categorie,risque,probabilite,impact,mitigation,owner
RISK-0038,ITAM,Support tiers écrasant la vérité constructeur,Moyenne,Critique,"Modèle séparé, contraintes, conflits, tests import/connecteur",Responsable ITAM
RISK-0039,Sécurité,Secrets de connecteurs ITSM exposés,Moyenne,Critique,"Vault, masquage logs, rotation, audit, scan secrets",RSSI
RISK-0040,Qualité,Parité CLI/API/UI incomplète,Élevée,Élevé,Matrice parité et tests E2E obligatoires,QA Lead
RISK-0041,Installation,Bootstrap cluster partiellement appliqué,Moyenne,Élevé,"Idempotence, rollback, rapport et tests d échec simulé",SRE Lead
RISK-0042,Dépendances,Dépôt OS indisponible pendant installation,Moyenne,Moyen,"Préflight dépôts, miroir interne et erreur bloquante explicite",Platform Lead
RISK-0043,Migrations,Migration backend échouée en upgrade,Moyenne,Élevé,"Sauvegarde préalable, verrou, tests CI et rollback documenté",Database Lead
RISK-0044,Réseau,VIP mal déclarée ou conflit IP,Moyenne,Élevé,Préflight ARP/DNS/routage et blocage avant application,Network Lead
RISK-0045,Sécurité,Secret exposé dans les logs d installation,Faible,Élevé,"Masquage systématique, scan logs et tests sécurité",Security Lead
RISK-0046,Frontend,Frontend configuré pour contourner l API backend,Faible,Élevé,"Validation config, tests réseau et interdiction accès DB",Frontend Lead
RISK-0047,Discovery,Agent disposant de droits excessifs,Moyenne,Élevé,"Principe moindre privilège, mTLS, RBAC agent et tests sécurité",Discovery Lead
RISK-0048,Supportabilité,Noms systemd divergents entre éditions,Faible,Moyen,Matrice services et validation CI bloquante,Release Manager
RISK-0049,,,,Élévation de privilèges applicative,"Deny explicite prioritaire, tests RBAC, revue mapping, audit",Security Architect
RISK-0050,,,,Installation impossible ou partielle,"Dry-run, surcharge fichier réponses, contrôle capacité avant changement",SRE
RISK-0051,,,,Compromission système,"sudoers strict, wrappers, audits, tests sécurité",Security Architect
RISK-0052,,,,Perte accès utilisateurs,"Cache borné, break-glass audité, alertes, runbook",Ops
