id,phase,stream,priority,title,summary,deliverables,dependencies,acceptance
EPIC-0705,P07,STR-DISC,P1,Réconciliation multi-sources,"Implémenter matching pondéré, score confiance, conflits, certification et règles de fusion.",Reconciliation engine; UI conflits; policies; tests cas ambigus.,EPIC-0306; EPIC-0702; EPIC-0703,Aucune donnée certifiée n’est remplacée sans règle explicite.
EPIC-0706,P07,STR-QA,P1,Banc de discovery haute charge,"Créer environnements simulés pour scans distribués, rate limiting, interruption/reprise.",Simulateurs; tests charge collectors; métriques; rapport.,EPIC-0702; EPIC-0703,Un scan massif ne dégrade pas les APIs critiques au-delà des seuils.
EPIC-0801,P08,STR-BE,P1,Graphe dépendances modèle et stockage,"Modéliser nœuds, arêtes, sources, temporalité, poids, preuve, criticité et partitionnement.",Graph model; API; jobs consolidation; index; tests.,EPIC-0302; EPIC-0204,Les arêtes massives sont partitionnées et consultables par filtres bornés.
EPIC-0802,P08,STR-BE,P1,Analyse impact et SPOF,"Calculer chemins, dépendances entrantes/sortantes, single points of failure et services impactés.",Impact engine; API; rapports; tests graphes.,EPIC-0801,"Un rapport liste composants impactés, criticité et incertitudes de source."
EPIC-0803,P08,STR-BE,P1,Matrice de flux réseau,"Gérer flux déclarés, observés, temporaires, propriétaires, validité, ports, protocoles, justification.",Flow model; API; import; export firewall; UI; audit.,EPIC-0501; EPIC-0801,"Un flux déclaré possède owner, durée, justification et relations applicatives."
EPIC-0804,P08,STR-DISC,P1,Ingestion NetFlow/sFlow/IPFIX/firewall logs,"Importer flux observés, agréger, comparer au déclaré, détecter flux non autorisés ou orphelins.",Collectors flux; aggregation; retention; comparisons; metrics.,EPIC-0803; EPIC-0204,Les flux observés sont agrégés sans transformer PostgreSQL OLTP en entrepôt illimité.
EPIC-0805,P08,STR-FE,P1,Visualisations graphes et flux,"Livrer graphes interactifs, filtres, chemins, vues impact, export GraphML/DOT/SVG.",Graph UI; flow matrix UI; impact report; tests UX.,EPIC-0802; EPIC-0803,Un architecte explore un service métier et ses dépendances critiques.
EPIC-0901,P09,STR-BE,P1,ITAM actifs et cycle de vie,"Gérer acquisition, stock, affectation, maintenance, retrait, destruction, pièces détachées.",ITAM model; workflows référentiels; API; UI; tests.,EPIC-0301; EPIC-0401,Un actif suit un cycle de vie complet avec audit et localisation.
EPIC-0902,P09,STR-BE,P1,Logiciels et inventaires logiciels,"Gérer logiciels, versions, installations, packages, services, empreintes et inventaires massifs.",Software model; imports discovery; partitioned inventories; tests.,EPIC-0703; EPIC-0204,Les inventaires logiciels massifs sont partitionnés et recherchables.
EPIC-0903,P09,STR-BE,P1,Licences et conformité logicielle,"Gérer contrats licences, droits, installations, sous/sur-licensing, règles éditeurs.",License model; compliance engine; reports; UI.,EPIC-0902,Un rapport identifie écarts de conformité par éditeur/application.
EPIC-0904,P09,STR-BE,P1,"Contrats, garanties et fournisseurs","Gérer fournisseurs, contrats support, garanties, dates, coûts, SLA contractuels non ITSM.",Contract model; alerts; reports; imports.,EPIC-0901,Un actif expose ses garanties et contrats liés.
EPIC-0905,P09,STR-BE,P1,Lifecycle Intelligence EOL/EOS,"Corréler modèles, OS, firmwares, contrats, garanties, EOL/EOS et risques par service.",Lifecycle model; rules; dashboards; imports vendors.,EPIC-0901; EPIC-0802,Les actifs en fin de support sont reliés aux services impactés.
EPIC-1001,P10,STR-SEC,P1,SSO/OIDC/SAML/MFA,"Implémenter authentification entreprise, mapping groupes, sessions, service accounts et tokens.",OIDC; SAML; MFA via IdP; token API; session policies; tests.,EPIC-0103,"Authentification locale désactivable, groupes IdP mappés aux rôles."
EPIC-1002,P10,STR-SEC,P1,Vault et secrets discovery,"Intégrer Vault ou backend secrets compatible, rotation, injection temporaire et masquage.",Secret provider; scopes; rotation hooks; audit; tests.,EPIC-1001,Aucun secret discovery n’est stocké en clair ni affiché en logs.
EPIC-1003,P10,STR-SEC,P1,RBAC/ABAC avancé,"Implémenter permissions fines par tenant, site, domaine, objet, champ, action et contexte.",Policy model; enforcement backend/frontend; tests droits; audit refus.,EPIC-1001; EPIC-0203,Un utilisateur ne voit ni champs ni objets hors périmètre.
EPIC-1004,P10,STR-SEC,P1,Audit append-only et preuve,"Renforcer audit avec intégrité, chaînage hash ou stockage append-only et exports vérifiables.",Audit integrity; verification; signed exports; retention.,EPIC-0304,Une altération d’audit est détectable.
EPIC-1005,P10,STR-BE,P1,Policy Engine conformité continue,"Exécuter règles de conformité : naming, owner, IPAM, localisation, certificats, sécurité, cloud, tags.",Rule engine; DSL contrôlé; scheduler; exceptions; dashboards.,EPIC-0306; EPIC-1003,"Chaque non-conformité possède preuve, sévérité, owner et exception éventuelle."
EPIC-1006,P10,STR-QA,P1,Security verification program,"Threat modeling, SAST, dependency scan, secrets scan, DAST, tests RBAC/ABAC, supply chain.",Threat models; security CI; reports; penetration checklist.,EPIC-1001; EPIC-1003,Aucune release ne sort avec vulnérabilité critique non traitée.
EPIC-1101,P11,STR-FE,P1,Field operations mobile web,"Livrer interface mobile responsive/offline pour consultation localisation, checklists, photos et scan QR.",PWA; offline cache sécurisé; QR scan; checklists; upload photos.,EPIC-0403; EPIC-1003,Un technicien suit une intervention même avec connectivité intermittente.
EPIC-1102,P11,STR-BE,P1,Journal intervention sans ITSM,"Enregistrer actions terrain, preuves, photos, validations et verrou logique d’intervention sans ticketing.",Field operation model; audit; attachments; locks; exports.,EPIC-1101,Le journal est rattaché aux actifs sans créer de module ITSM.
EPIC-1103,P11,STR-BE,P1,Simulation placement DCIM,"Simuler ajout/déplacement équipement selon espace, énergie, refroidissement, poids, réseau et dépendances.",Simulation engine DCIM; reports; API; UI.,EPIC-0406; EPIC-0802,Le système refuse ou avertit selon contraintes violées.
EPIC-1104,P11,STR-BE,P1,Simulation changement infrastructure,"Simuler suppression subnet, changement VLAN, coupure PDU/switch, migration application et impacts.",Change simulation; impact reports; snapshots; compare.,EPIC-0802; EPIC-0504,Un rapport avant/après expose impacts et incertitudes.
EPIC-1105,P11,STR-PROD,P1,Migration planning,"Gérer vagues de migration, move groups, readiness score, contraintes, dépendances bloquantes.",Migration model; planner UI; scoring; reports.,EPIC-1104,"Une vague de migration liste dépendances, risques et prérequis."
EPIC-1201,P12,STR-BE,P1,FinOps cost model,"Modéliser coûts cloud, datacenter, licences, énergie, support, contrats et allocation.",Cost model; imports; showback; chargeback; reports.,EPIC-0904; EPIC-0406,"Un coût est imputable à application, service, tenant ou centre de coûts."
EPIC-1202,P12,STR-BE,P1,GreenOps sustainability,"Calculer consommation, PUE, CO2 estimé, équipements zombies, consolidation et rapports énergie.",Energy/carbon model; dashboards; recommendations.,EPIC-0406; EPIC-1201,"Un rapport énergie/carbone est disponible par site, rack et service."
EPIC-1203,P12,STR-BE,P1,SBOM registry,"Importer CycloneDX/SPDX, versionner SBOM, relier composants, licences, CVE et applications.",SBOM model; import; diff; API; UI.,EPIC-0902; EPIC-1005,Une SBOM est liée à une release applicative et exploitable pour risque licence/CVE.
EPIC-1204,P12,STR-BE,P1,Exposure & vulnerability context,"Corréler vulnérabilités externes avec actifs, logiciels, exposition internet, flux et criticité métier.",Vulnerability context; integrations; prioritization; dashboards.,EPIC-1203; EPIC-0803,"Le risque est priorisé selon exposition et criticité, pas seulement score brut."
EPIC-1205,P12,STR-BE,P1,Certificate & PKI avancé,"Découvrir certificats TLS, chaînes, SAN, expiration, algorithmes faibles, owners et endpoints.",Cert inventory; scans; Kubernetes/cloud integrations; alerts.,EPIC-0703; EPIC-1005,"Un certificat expirant est relié à application, endpoint et propriétaire."
EPIC-1301,P13,STR-BE,P1,Index RAG permission-aware,"Construire index documentaire et référentiel filtré par droits, sources citées, fraîcheur et scopes.",Indexing pipeline; ACL filtering; citations; freshness.,EPIC-1003; EPIC-0301,Une réponse ne révèle jamais un objet non autorisé.
EPIC-1302,P13,STR-FE,P1,Assistant langage naturel,"Livrer UI assistant pour recherche, explication, requêtes guidées et génération de rapports non destructifs.",Assistant UI; conversation context; report generation; guardrails.,EPIC-1301,Chaque réponse opérationnelle cite les sources OpenInfra consultées.
EPIC-1303,P13,STR-BE,P1,Anomaly detection gouvernée,"Détecter anomalies IPAM, discovery, flux, capacité, coûts, certificats et inventaire avec validation humaine.",Anomaly jobs; scoring; review UI; feedback loop.,EPIC-1005; EPIC-1201,Une anomalie ne modifie aucune donnée sans approbation explicite.
EPIC-1304,P13,STR-BE,P1,Recommandations placement et préfixes,"Proposer placement rack et optimisation de préfixes IP avec justification, contraintes et simulation.",Recommendation engine; reports; confidence scores.,EPIC-1103; EPIC-0504,"Une recommandation explique contraintes, données sources et limites."
EPIC-1401,P14,STR-QA,P1,Performance enterprise certification,Benchmarks API/DB/import/discovery/IPAM/graph sur jeux synthétiques et profils réalistes.,Bench suite; reports p95/p99; SQL plans; gating perf.,EPIC-0205; EPIC-0602; EPIC-0801,p95/p99 critiques dans les objectifs définis ou dérogation formelle.
EPIC-1402,P14,STR-QA,P1,Chaos et résilience,"Tests panne worker, API, DB primaire, réseau, queue, object storage, secrets backend.",Chaos tests; failover reports; recovery runbooks.,EPIC-0201; EPIC-0104; EPIC-1002,Aucun job validé perdu et reprise documentée.
EPIC-1403,P14,STR-SRE,P1,Packaging Kubernetes/Helm production,"Livrer charts, values, probes, autoscaling, policies, ingress, secrets, backups et upgrade.",Helm charts; OCI images; manifests; upgrade tests.,EPIC-0106; EPIC-0201,Déploiement reproductible sur cluster Kubernetes de référence.
EPIC-1404,P14,STR-SRE,P1,Observabilité complète,"Dashboards API, DB, jobs, collectors, queues, front, erreurs, traces, logs, alertes.",Grafana dashboards; Prometheus alerts; Loki; OpenTelemetry traces.,EPIC-0205; EPIC-0104,"Tout incident critique possède métriques, logs et traces corrélables."
EPIC-1405,P14,STR-DOC,P1,Documentation exploitation et formation,"Finaliser guides admin, runbooks, API, migration, sécurité, sauvegarde, PRA, formation.",Docs versionnées; runbooks; guides formation; catalogue API.,Toutes phases,"Une équipe exploitante peut installer, opérer, sauvegarder, restaurer et diagnostiquer."
EPIC-1406,P14,STR-PROD,P1,Go/No-Go GA Enterprise,"Exécuter checklist finale de conformité exigences, risques, sécurité, performance, support et documentation.",Go/No-Go report; release notes; known limitations; support model.,EPIC-1401; EPIC-1402; EPIC-1403; EPIC-1404; EPIC-1405,GA signée uniquement si exigences N1 passantes ou dérogées formellement.
