id,title,actors,trigger,preconditions,main,errors,acceptance,domains
UC-0011,Gouvernance de la donnée et sources autoritatives,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Gouvernance de la donnée et sources autoritatives dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un attribut critique ne peut pas être déclaré sans règle de source autoritative; toute résolution de conflit est historisée avec acteur, preuve et justification",GOV
UC-0012,"Qualité, certification et réconciliation des données","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Qualité, certification et réconciliation des données dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque finding possède une preuve, une criticité, une règle source et un statut; la correction de masse exige un dry-run et un rapport avant application",DQ
UC-0013,"Flux réseau, matrices de flux et segmentation","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Flux réseau, matrices de flux et segmentation dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un flux déclaré contient source, destination, protocole, port, propriétaire et justification; les flux observés massifs sont stockés en tables partitionnées et agrégés",FLOW
UC-0014,"Certificats, PKI et secrets référencés","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Certificats, PKI et secrets référencés dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,aucun secret brut n’est renvoyé par API ou export; un certificat critique expirant sous seuil génère un événement et une alerte,CERT
UC-0015,Conformité réseau et configuration attendue,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Conformité réseau et configuration attendue dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"une dérive identifie règle, équipement, section, preuve et criticité; les configurations sensibles sont protégées contre exposition de secrets",NCFG
UC-0016,"FinOps, coûts, showback et chargeback","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine FinOps, coûts, showback et chargeback dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque coût importé conserve source, période, devise, propriétaire et méthode d’allocation; les rapports financiers sont reproductibles pour une période clôturée",FINOPS
UC-0017,Field Operations et mobilité datacenter,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Field Operations et mobilité datacenter dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,une fiche terrain ne peut pas être générée si la localisation obligatoire est incomplète; le mode offline ne stocke que le périmètre autorisé et expire automatiquement,FIELD
UC-0018,"Simulation, analyse d’impact et migration planning","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Simulation, analyse d’impact et migration planning dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un scénario de simulation ne modifie jamais les données de production; un rapport d’impact référence les objets, relations et hypothèses utilisés",SIM
UC-0019,GreenOps et capacité énergétique,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine GreenOps et capacité énergétique dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque estimation carbone indique facteur, source, période et périmètre; les mesures massives sont partitionnées et agrégées",GREEN
UC-0020,"SBOM, vulnérabilités et exposition contextualisée","Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine SBOM, vulnérabilités et exposition contextualisée dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un SBOM importé conserve format, hash, source, application, release et environnement; une vulnérabilité est contextualisée sans remplacer le scanner externe",SBOM
UC-0021,Kubernetes avancé et mapping cloud-native,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Kubernetes avancé et mapping cloud-native dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un workload est rattachable à son service métier, son image, ses flux et son infrastructure sous-jacente; les secrets Kubernetes sont référencés sans exposition de valeur",K8S
UC-0022,Policy Engine et conformité continue,"Architecte enterprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Policy Engine et conformité continue dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"une politique possède version, portée, propriétaire, sévérité et critère d’évaluation; une exception ne peut pas être permanente sans justification renforcée",POLICY
UC-V43-0001,Installer OpenInfra Lite all-in-one,Administrateur système,Déploiement Lite,"OS supporté, PostgreSQL local disponible","Exécution installateur, création openinfra.service, smoke test UI/API local","Quota dépassé, port indisponible, DB inaccessible",Lite fonctionne avec quotas appliqués,OPS;EDITION
UC-V43-0002,Installer backend Pro séparé,Administrateur système,Déploiement Pro,DB PostgreSQL medium disponible,"Exécution installateur serveur, création openinfra.service, configuration API","DB inaccessible, licence invalide",Backend Pro opérationnel,OPS;PACKAGING
UC-V43-0003,Installer frontend React Bootstrap 5,Administrateur système,Déploiement Web,Backend API accessible,"Installation openinfra-web.service, configuration API_BASE_URL, smoke UI","API inaccessible, configuration invalide",UI consomme API sans accès DB,FRONTEND;API
UC-V43-0004,Déployer agent discovery Entreprise,Administrateur réseau,Discovery distribué,Backend Entreprise et certificats mTLS,"Installation openinfra-agent.service, enrolment, réception job, publication observation","mTLS invalide, périmètre interdit",Agent alimente le backend via API,DISCOVERY;SECURITY
UC-V43-0005,Synchroniser CI vers ServiceNow,Administrateur intégration,Publication CI externe,Connecteur Pro/Entreprise configuré,"Dry-run, mapping, apply, audit, statut","Rate limit, conflit champ, indisponibilité ITSM",CI synchronisé sans ticket interne,ITSM;API
UC-V43-0006,Lier ticket Jira Service Management à actif,Technicien NOC,Ticket externe existant,Actif et ticket externe connus,"Recherche actif, ajout lien externe, affichage contexte","Droits insuffisants, ticket introuvable",Lien externe affiché sans créer ticket interne,ITSM;ITRM
UC-V43-0007,Ajouter support tiers sans écraser constructeur,Asset manager,Contrat tiers signé,Asset physique avec support constructeur,"Ajout contrat tiers, audit, affichage séparé","Conflit source, doublon contrat",Support constructeur inchangé,ASSET;ITAM
UC-V43-0008,Valider parité CLI/API/UI,QA lead,Nouvelle commande CLI,Route API et parcours UI attendus,"Exécution matrice parité, tests E2E",Manque route API ou écran,Aucun écart non justifié,QA;FRONTEND;API
UC-V44-0001,Installer un cluster backend sans expertise HA,Opérateur plateforme,Déploiement édition Entreprise server,FQDN IP masque VIP passerelle DNS disponibles,"Lancer dry-run puis apply, installer dépendances, configurer VIP, démarrer services","DNS incohérent, dépendance absente, VIP indisponible",API backend disponible via VIP et rapport généré,INSTALLER;CLUSTER;BACKEND
UC-V44-0002,Installer un frontend web clusterisé,Opérateur plateforme,Déploiement scope web,Backend API disponible,"Installer dépendances web, configurer openinfra-web.service, tester accès UI",API backend inaccessible ou TLS invalide,UI React Bootstrap 5 accessible et connectée à l API,FRONTEND;CLUSTER
UC-V44-0003,Installer des agents discovery régionaux,Opérateur réseau,Ajout région de discovery,API backend joignable et inventaire réseau minimal,"Installer agents, générer certificats, enregistrer agents, exécuter job test",Enregistrement refusé ou réseau interdit,Agents remontent observations via backend,AGENT;DISCOVERY
UC-V44-0004,Appliquer toutes les migrations backend,Release manager,Installation ou upgrade server,Base accessible et sauvegarde disponible si migration critique,"Prendre verrou, appliquer migrations, vérifier schéma, produire rapport",Migration échouée ou contrainte absente,Schéma cible validé et backend démarré,BACKEND;MIGRATION
UC-V44-0005,Installer toutes les dépendances automatiquement,Opérateur système,Installation sur OS supporté,Accès aux dépôts autorisés,"Détecter OS, configurer dépôts, installer dépendances, vérifier versions",Dépendance critique indisponible,Toutes les dépendances requises sont validées,DEPENDENCIES
UC-V44-0006,Valider un dry-run sans modification système,Auditeur technique,Préparation de déploiement,Inventaire réseau fourni,Exécuter dry-run et analyser plan d impact,Inventaire incomplet ou incohérent,Aucune modification système et plan complet produit,INSTALLER;VALIDATION
UC-V44-0007,Tester la bascule VIP après installation,SRE,Fin installation cluster,Cluster démarré,Simuler arrêt nœud actif et vérifier routage vers nœud sain,VIP non basculée ou service indisponible,Bascule enregistrée dans rapport,RESILIENCE;NETWORK
UC-V44-0008,Vérifier la séparation installateurs hors src,QA lead,Pipeline packaging,Dépôt source complet,"Scanner arborescence, valider installers, refuser installateur sous src",Fichier installer détecté dans src,Structure conforme et pipeline vert,CI_CD;INSTALLER
UC-V45-0001,Installer backend Pro avec service canonique,Administrateur système,Déploiement Pro,Paramètres réseau et PostgreSQL disponibles,"Exécution du scope server, bootstrap PostgreSQL, migrations, démarrage openinfra.service","Dépendance critique absente, migration échouée",Backend opérationnel via openinfra.service,PACKAGING;SYSTEMD
UC-V45-0002,Installer backend Entreprise en cluster,Administrateur système,Déploiement Entreprise HA,FQDN/IP/VIP/GW/DNS fournis,"Configuration cluster, health checks, migrations verrouillées, démarrage openinfra.service sur les nœuds","Failover impossible, quorum absent",Cluster backend prêt,PACKAGING;HA
UC-V45-0003,Migrer un déploiement existant vers le service canonique,SRE,Upgrade,Ancienne configuration sauvegardée,"Migration configuration, unit systemd, validation service canonique",Rollback requis,Service canonique actif sans perte de configuration,COMPATIBILITY;SYSTEMD
UC-0028,,,,Accès root disponible,,,Le compte est non interactif et exécute les services OpenInfra,
UC-0029,,,,Annuaire accessible et groupes définis,,,Les utilisateurs obtiennent les rôles attendus avec audit,
UC-0030,,,,VG rootvg disponible ou surcharge fournie,,,"Le stockage est monté, persistant et possédé par openinfra",
UC-0031,Installer stockage applicatif et PostgreSQL séparés,Administrateur système,Installation backend OpenInfra,"Accès root, VG rootvg et datavg disponibles ou surcharges validées","Créer LV applicatif, créer LV PostgreSQL, monter filesystems, résoudre compte PostgreSQL, créer symlink, appliquer permissions","VG absent, taille insuffisante, owner invalide, symlink incohérent",Les deux filesystems sont séparés et sécurisés.,OPS;DATA;SEC
UC-0032,Déployer un cluster PostgreSQL quasi temps réel,"Administrateur système, SRE",Installation Pro/Entreprise cluster,FQDN/IP/VIP/GW/DNS fournis et nœuds joignables,"Bootstrap primaire, créer réplicas, configurer standby faible latence, activer supervision, tester failover","Quorum absent, standby non joignable, lag excessif",La synchronisation quasi temps réel fonctionne et le failover est validé.,DATA;HA;OPS
UC-0033,Exploiter un référentiel multisite,"Administrateur OpenInfra, responsable site",Création ou exploitation multi-sites,"Sites, rôles et droits configurés","Créer sites, affecter assets/subnets/racks, filtrer rapports, router discovery selon édition","Droit site insuffisant, agent indisponible, site non autorisé",Pro et Entreprise exposent les capacités multisites prévues sans dépasser leurs limites.,ITRM;SEC;DISC;REPORT
UC-0042,Installer OpenInfra à partir du fichier install.ini,"Opérateur système, administrateur plateforme","Déploiement ou extension OpenInfra Lite, Pro ou Entreprise.",Le dossier installateur est présent et l’opérateur a renseigné ./config/install.ini avec les paramètres serveur.,"L’opérateur exécute validate, plan puis apply ; l’installateur installe les dépendances, configure stockage, services, cluster et migrations selon le scope.",install.ini invalide ; dépendance indisponible ; VG insuffisant ; VIP indisponible ; LDAP/IPA incohérent ; secret manquant.,L’installation s’effectue sans modification des scripts et produit un rapport exploitable.,INSTALL;OPS;SEC;DATA
