id,volume,domain,type,priority,requirement,rationale,verification,acceptance
REQ-00019,V01,OPS,Architecture,N2,"Le périmètre Principes du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Principes fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Principes, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00020,V01,OPS,Audit,N2,"Le domaine Principes doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00021,V01,OPS,Performance,N2,Le domaine Principes doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00022,V01,OPS,Architecture,N2,"Le périmètre Architecture cible du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Architecture cible fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Architecture cible, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00023,V01,OPS,Audit,N2,"Le domaine Architecture cible doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00024,V01,OPS,Performance,N2,Le domaine Architecture cible doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00025,V01,OPS,Architecture,N2,"Le périmètre Urbanisation du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Urbanisation fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Urbanisation, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00026,V01,OPS,Audit,N2,"Le domaine Urbanisation doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00027,V01,OPS,Performance,N2,Le domaine Urbanisation doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00028,V01,OPS,Architecture,N2,"Le périmètre Choix technologiques du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Choix technologiques fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Choix technologiques, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00029,V01,OPS,Audit,N2,"Le domaine Choix technologiques doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00030,V01,OPS,Performance,N2,Le domaine Choix technologiques doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00031,V02,SOT,Fonctionnelle,N1,"Le périmètre Modèle de données complet du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Modèle de données complet fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Modèle de données complet, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00032,V02,SOT,Audit,N1,"Le domaine Modèle de données complet doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00033,V02,SOT,Performance,N2,Le domaine Modèle de données complet doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00034,V02,SOT,Fonctionnelle,N1,"Le périmètre Gestion des équipements du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Gestion des équipements fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Gestion des équipements, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00035,V02,SOT,Audit,N1,"Le domaine Gestion des équipements doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00036,V02,SOT,Performance,N2,Le domaine Gestion des équipements doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00037,V02,SOT,Fonctionnelle,N1,"Le périmètre Localisation X/Y/Z du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Localisation X/Y/Z fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Localisation X/Y/Z, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00038,V02,SOT,Audit,N1,"Le domaine Localisation X/Y/Z doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00039,V02,SOT,Performance,N2,Le domaine Localisation X/Y/Z doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00040,V02,SOT,Fonctionnelle,N1,"Le périmètre Historique du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Historique fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Historique, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00041,V02,SOT,Audit,N1,"Le domaine Historique doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00042,V02,SOT,Performance,N2,Le domaine Historique doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00043,V02,SOT,Fonctionnelle,N1,"Le périmètre Audit du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Audit fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Audit, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00044,V02,SOT,Audit,N1,"Le domaine Audit doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00045,V02,SOT,Performance,N2,Le domaine Audit doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00046,V02,SOT,Fonctionnelle,N1,"Le périmètre Cycle de vie du volume Référentiel Source of Truth doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Cycle de vie fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Cycle de vie, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00047,V02,SOT,Audit,N1,"Le domaine Cycle de vie doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00048,V02,SOT,Performance,N2,Le domaine Cycle de vie doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00049,V03,IPAM,Fonctionnelle,N1,"Le périmètre IPv4/IPv6 du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine IPv4/IPv6 fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion IPv4/IPv6, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00050,V03,IPAM,Audit,N1,"Le domaine IPv4/IPv6 doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00051,V03,IPAM,Performance,N1,Le domaine IPv4/IPv6 doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00052,V03,IPAM,Fonctionnelle,N1,"Le périmètre VRF du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine VRF fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion VRF, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00053,V03,IPAM,Audit,N1,"Le domaine VRF doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00054,V03,IPAM,Performance,N1,Le domaine VRF doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00055,V03,IPAM,Fonctionnelle,N1,"Le périmètre ASN du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine ASN fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion ASN, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00056,V03,IPAM,Audit,N1,"Le domaine ASN doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00057,V03,IPAM,Performance,N1,Le domaine ASN doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00058,V03,IPAM,Fonctionnelle,N1,"Le périmètre BGP du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine BGP fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion BGP, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00059,V03,IPAM,Audit,N1,"Le domaine BGP doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00060,V03,IPAM,Performance,N1,Le domaine BGP doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00061,V03,IPAM,Fonctionnelle,N1,"Le périmètre EVPN/VXLAN du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine EVPN/VXLAN fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion EVPN/VXLAN, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00062,V03,IPAM,Audit,N1,"Le domaine EVPN/VXLAN doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00063,V03,IPAM,Performance,N1,Le domaine EVPN/VXLAN doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00064,V03,IPAM,Fonctionnelle,N1,"Le périmètre MPLS du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine MPLS fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion MPLS, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00065,V03,IPAM,Audit,N1,"Le domaine MPLS doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00066,V03,IPAM,Performance,N1,Le domaine MPLS doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00067,V03,IPAM,Fonctionnelle,N1,"Le périmètre NAT du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine NAT fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion NAT, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00068,V03,IPAM,Audit,N1,"Le domaine NAT doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00069,V03,IPAM,Performance,N1,Le domaine NAT doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00070,V03,IPAM,Fonctionnelle,N1,"Le périmètre DHCP du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine DHCP fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion DHCP, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00071,V03,IPAM,Audit,N1,"Le domaine DHCP doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00072,V03,IPAM,Performance,N1,Le domaine DHCP doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00073,V03,IPAM,Fonctionnelle,N1,"Le périmètre DNS du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine DNS fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion DNS, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00074,V03,IPAM,Audit,N1,"Le domaine DNS doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00075,V03,IPAM,Performance,N1,Le domaine DNS doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00076,V03,IPAM,Fonctionnelle,N1,"Le périmètre DDI du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine DDI fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion DDI, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00077,V03,IPAM,Audit,N1,"Le domaine DDI doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00078,V03,IPAM,Performance,N1,Le domaine DDI doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00079,V03,IPAM,Fonctionnelle,N1,"Le périmètre RPKI du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine RPKI fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion RPKI, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00080,V03,IPAM,Audit,N1,"Le domaine RPKI doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00081,V03,IPAM,Performance,N1,Le domaine RPKI doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
REQ-00082,V03,IPAM,Fonctionnelle,N1,"Le périmètre Blocs RIPE/ARIN/APNIC du volume IPAM Enterprise++ doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Blocs RIPE/ARIN/APNIC fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Blocs RIPE/ARIN/APNIC, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00083,V03,IPAM,Audit,N1,"Le domaine Blocs RIPE/ARIN/APNIC doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
