requirement_id,requirement_priority,domain,use_case_id,test_id,verification
REQ-00055,N1,IPAM,UC-0002,TST-REQ-0055,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00056,N1,IPAM,UC-0002,TST-REQ-0056,Test audit et test de corrélation trace/log/event.
REQ-00057,N1,IPAM,UC-0002,TST-REQ-0057,"Test import/export, test file de messages et test reprise."
REQ-00058,N1,IPAM,UC-0002,TST-REQ-0058,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00059,N1,IPAM,UC-0002,TST-REQ-0059,Test audit et test de corrélation trace/log/event.
REQ-00060,N1,IPAM,UC-0002,TST-REQ-0060,"Test import/export, test file de messages et test reprise."
REQ-00061,N1,IPAM,UC-0002,TST-REQ-0061,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00062,N1,IPAM,UC-0002,TST-REQ-0062,Test audit et test de corrélation trace/log/event.
REQ-00063,N1,IPAM,UC-0002,TST-REQ-0063,"Test import/export, test file de messages et test reprise."
REQ-00064,N1,IPAM,UC-0002,TST-REQ-0064,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00065,N1,IPAM,UC-0002,TST-REQ-0065,Test audit et test de corrélation trace/log/event.
REQ-00066,N1,IPAM,UC-0002,TST-REQ-0066,"Test import/export, test file de messages et test reprise."
REQ-00067,N1,IPAM,UC-0002,TST-REQ-0067,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00068,N1,IPAM,UC-0002,TST-REQ-0068,Test audit et test de corrélation trace/log/event.
REQ-00069,N1,IPAM,UC-0002,TST-REQ-0069,"Test import/export, test file de messages et test reprise."
REQ-00070,N1,IPAM,UC-0002,TST-REQ-0070,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00071,N1,IPAM,UC-0002,TST-REQ-0071,Test audit et test de corrélation trace/log/event.
REQ-00072,N1,IPAM,UC-0002,TST-REQ-0072,"Test import/export, test file de messages et test reprise."
REQ-00073,N1,IPAM,UC-0002,TST-REQ-0073,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00074,N1,IPAM,UC-0002,TST-REQ-0074,Test audit et test de corrélation trace/log/event.
REQ-00075,N1,IPAM,UC-0002,TST-REQ-0075,"Test import/export, test file de messages et test reprise."
REQ-00076,N1,IPAM,UC-0002,TST-REQ-0076,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00077,N1,IPAM,UC-0002,TST-REQ-0077,Test audit et test de corrélation trace/log/event.
REQ-00078,N1,IPAM,UC-0002,TST-REQ-0078,"Test import/export, test file de messages et test reprise."
REQ-00079,N1,IPAM,UC-0002,TST-REQ-0079,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00080,N1,IPAM,UC-0002,TST-REQ-0080,Test audit et test de corrélation trace/log/event.
REQ-00081,N1,IPAM,UC-0002,TST-REQ-0081,"Test import/export, test file de messages et test reprise."
REQ-00082,N1,IPAM,UC-0002,TST-REQ-0082,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00083,N1,IPAM,UC-0002,TST-REQ-0083,Test audit et test de corrélation trace/log/event.
REQ-00084,N1,IPAM,UC-0002,TST-REQ-0084,"Test import/export, test file de messages et test reprise."
REQ-00085,N1,IPAM,UC-0002,TST-REQ-0085,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00086,N1,IPAM,UC-0002,TST-REQ-0086,Test audit et test de corrélation trace/log/event.
REQ-00087,N1,IPAM,UC-0002,TST-REQ-0087,"Test import/export, test file de messages et test reprise."
REQ-00088,N1,IPAM,UC-0002,TST-REQ-0088,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00089,N1,IPAM,UC-0002,TST-REQ-0089,Test audit et test de corrélation trace/log/event.
REQ-00090,N1,IPAM,UC-0002,TST-REQ-0090,"Test import/export, test file de messages et test reprise."
REQ-00091,N1,IPAM,UC-0002,TST-REQ-0091,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00092,N1,IPAM,UC-0002,TST-REQ-0092,Test audit et test de corrélation trace/log/event.
REQ-00093,N1,IPAM,UC-0002,TST-REQ-0093,"Test import/export, test file de messages et test reprise."
REQ-00094,N2,DISC,UC-0004,TST-REQ-0094,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00095,N2,DISC,UC-0004,TST-REQ-0095,Test audit et test de corrélation trace/log/event.
REQ-00096,N1,DISC,UC-0004,TST-REQ-0096,"Test import/export, test file de messages et test reprise."
REQ-00097,N2,DISC,UC-0004,TST-REQ-0097,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00098,N2,DISC,UC-0004,TST-REQ-0098,Test audit et test de corrélation trace/log/event.
REQ-00099,N1,DISC,UC-0004,TST-REQ-0099,"Test import/export, test file de messages et test reprise."
REQ-00100,N2,DISC,UC-0004,TST-REQ-0100,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00101,N2,DISC,UC-0004,TST-REQ-0101,Test audit et test de corrélation trace/log/event.
REQ-00102,N1,DISC,UC-0004,TST-REQ-0102,"Test import/export, test file de messages et test reprise."
REQ-00103,N2,DISC,UC-0004,TST-REQ-0103,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00104,N2,DISC,UC-0004,TST-REQ-0104,Test audit et test de corrélation trace/log/event.
REQ-00105,N1,DISC,UC-0004,TST-REQ-0105,"Test import/export, test file de messages et test reprise."
REQ-00106,N2,DISC,UC-0004,TST-REQ-0106,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00107,N2,DISC,UC-0004,TST-REQ-0107,Test audit et test de corrélation trace/log/event.
REQ-00108,N1,DISC,UC-0004,TST-REQ-0108,"Test import/export, test file de messages et test reprise."
REQ-00109,N2,DISC,UC-0004,TST-REQ-0109,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00110,N2,DISC,UC-0004,TST-REQ-0110,Test audit et test de corrélation trace/log/event.
REQ-00111,N1,DISC,UC-0004,TST-REQ-0111,"Test import/export, test file de messages et test reprise."
REQ-00112,N2,DISC,UC-0004,TST-REQ-0112,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00113,N2,DISC,UC-0004,TST-REQ-0113,Test audit et test de corrélation trace/log/event.
REQ-00114,N1,DISC,UC-0004,TST-REQ-0114,"Test import/export, test file de messages et test reprise."
REQ-00115,N2,DISC,UC-0004,TST-REQ-0115,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00116,N2,DISC,UC-0004,TST-REQ-0116,Test audit et test de corrélation trace/log/event.
REQ-00117,N1,DISC,UC-0004,TST-REQ-0117,"Test import/export, test file de messages et test reprise."
REQ-00118,N2,DISC,UC-0004,TST-REQ-0118,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00119,N2,DISC,UC-0004,TST-REQ-0119,Test audit et test de corrélation trace/log/event.
REQ-00120,N1,DISC,UC-0004,TST-REQ-0120,"Test import/export, test file de messages et test reprise."
REQ-00121,N2,DISC,UC-0004,TST-FUNC-0001,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00122,N2,DISC,UC-0004,TST-FUNC-0002,Test audit et test de corrélation trace/log/event.
REQ-00123,N1,DISC,UC-0004,TST-FUNC-0003,"Test import/export, test file de messages et test reprise."
REQ-00124,N2,DISC,UC-0004,TST-FUNC-0004,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00125,N2,DISC,UC-0004,TST-FUNC-0005,Test audit et test de corrélation trace/log/event.
REQ-00126,N1,DISC,UC-0004,TST-FUNC-0006,"Test import/export, test file de messages et test reprise."
REQ-00127,N1,DCIM,UC-0001,TST-FUNC-0007,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00128,N2,DCIM,UC-0001,TST-FUNC-0008,Test audit et test de corrélation trace/log/event.
REQ-00129,N2,DCIM,UC-0001,TST-FUNC-0009,"Test import/export, test file de messages et test reprise."
REQ-00130,N1,DCIM,UC-0001,TST-FUNC-0010,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00131,N2,DCIM,UC-0001,TST-FUNC-0001,Test audit et test de corrélation trace/log/event.
REQ-00132,N2,DCIM,UC-0001,TST-FUNC-0002,"Test import/export, test file de messages et test reprise."
REQ-00133,N1,DCIM,UC-0001,TST-FUNC-0003,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00134,N2,DCIM,UC-0001,TST-FUNC-0004,Test audit et test de corrélation trace/log/event.
REQ-00135,N2,DCIM,UC-0001,TST-FUNC-0005,"Test import/export, test file de messages et test reprise."
REQ-00136,N1,DCIM,UC-0001,TST-FUNC-0006,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00137,N2,DCIM,UC-0001,TST-FUNC-0007,Test audit et test de corrélation trace/log/event.
REQ-00138,N2,DCIM,UC-0001,TST-FUNC-0008,"Test import/export, test file de messages et test reprise."
REQ-00139,N1,DCIM,UC-0001,TST-FUNC-0009,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00140,N2,DCIM,UC-0001,TST-FUNC-0010,Test audit et test de corrélation trace/log/event.
REQ-00141,N2,DCIM,UC-0001,TST-FUNC-0001,"Test import/export, test file de messages et test reprise."
REQ-00142,N1,DCIM,UC-0001,TST-FUNC-0002,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00143,N2,DCIM,UC-0001,TST-FUNC-0003,Test audit et test de corrélation trace/log/event.
REQ-00144,N2,DCIM,UC-0001,TST-FUNC-0004,"Test import/export, test file de messages et test reprise."
REQ-00145,N1,DCIM,UC-0001,TST-FUNC-0005,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00146,N2,DCIM,UC-0001,TST-FUNC-0006,Test audit et test de corrélation trace/log/event.
REQ-00147,N2,DCIM,UC-0001,TST-FUNC-0007,"Test import/export, test file de messages et test reprise."
REQ-00148,N1,DCIM,UC-0001,TST-FUNC-0008,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00149,N2,DCIM,UC-0001,TST-FUNC-0009,Test audit et test de corrélation trace/log/event.
REQ-00150,N2,DCIM,UC-0001,TST-FUNC-0010,"Test import/export, test file de messages et test reprise."
REQ-00151,N1,DCIM,UC-0001,TST-FUNC-0001,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00152,N2,DCIM,UC-0001,TST-FUNC-0002,Test audit et test de corrélation trace/log/event.
REQ-00153,N2,DCIM,UC-0001,TST-FUNC-0003,"Test import/export, test file de messages et test reprise."
REQ-00154,N2,DEP,UC-0005,TST-FUNC-0004,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00155,N2,DEP,UC-0005,TST-FUNC-0005,Test audit et test de corrélation trace/log/event.
REQ-00156,N2,DEP,UC-0005,TST-FUNC-0006,"Test import/export, test file de messages et test reprise."
REQ-00157,N2,DEP,UC-0005,TST-FUNC-0007,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00158,N2,DEP,UC-0005,TST-FUNC-0008,Test audit et test de corrélation trace/log/event.
REQ-00159,N2,DEP,UC-0005,TST-FUNC-0009,"Test import/export, test file de messages et test reprise."
REQ-00160,N2,DEP,UC-0005,TST-FUNC-0010,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00161,N2,DEP,UC-0005,TST-FUNC-0001,Test audit et test de corrélation trace/log/event.
REQ-00162,N2,DEP,UC-0005,TST-FUNC-0002,"Test import/export, test file de messages et test reprise."
REQ-00163,N2,DEP,UC-0005,TST-FUNC-0003,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00164,N2,DEP,UC-0005,TST-FUNC-0004,Test audit et test de corrélation trace/log/event.
REQ-00165,N2,DEP,UC-0005,TST-FUNC-0005,"Test import/export, test file de messages et test reprise."
REQ-00166,N2,DEP,UC-0005,TST-FUNC-0006,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00167,N2,DEP,UC-0005,TST-FUNC-0007,Test audit et test de corrélation trace/log/event.
REQ-00168,N2,DEP,UC-0005,TST-FUNC-0008,"Test import/export, test file de messages et test reprise."
REQ-00169,N2,DEP,UC-0005,TST-FUNC-0009,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00170,N2,DEP,UC-0005,TST-FUNC-0010,Test audit et test de corrélation trace/log/event.
REQ-00171,N2,DEP,UC-0005,TST-FUNC-0001,"Test import/export, test file de messages et test reprise."
REQ-00172,N2,DEP,UC-0005,TST-FUNC-0002,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00173,N2,DEP,UC-0005,TST-FUNC-0003,Test audit et test de corrélation trace/log/event.
REQ-00174,N2,DEP,UC-0005,TST-FUNC-0004,"Test import/export, test file de messages et test reprise."
REQ-00175,N2,ITAM,UC-0003,TST-FUNC-0005,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00176,N2,ITAM,UC-0003,TST-FUNC-0006,Test audit et test de corrélation trace/log/event.
REQ-00177,N1,ITAM,UC-0003,TST-FUNC-0007,"Test import/export, test file de messages et test reprise."
REQ-00178,N2,ITAM,UC-0003,TST-FUNC-0008,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00179,N2,ITAM,UC-0003,TST-FUNC-0009,Test audit et test de corrélation trace/log/event.
REQ-00180,N1,ITAM,UC-0003,TST-FUNC-0010,"Test import/export, test file de messages et test reprise."
REQ-00181,N2,ITAM,UC-0003,TST-FUNC-0001,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00182,N2,ITAM,UC-0003,TST-FUNC-0002,Test audit et test de corrélation trace/log/event.
REQ-00183,N1,ITAM,UC-0003,TST-FUNC-0003,"Test import/export, test file de messages et test reprise."
REQ-00184,N2,ITAM,UC-0003,TST-FUNC-0004,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00185,N2,ITAM,UC-0003,TST-FUNC-0005,Test audit et test de corrélation trace/log/event.
REQ-00186,N1,ITAM,UC-0003,TST-FUNC-0006,"Test import/export, test file de messages et test reprise."
REQ-00187,N2,ITAM,UC-0003,TST-FUNC-0007,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00188,N2,ITAM,UC-0003,TST-FUNC-0008,Test audit et test de corrélation trace/log/event.
REQ-00189,N1,ITAM,UC-0003,TST-FUNC-0009,"Test import/export, test file de messages et test reprise."
REQ-00190,N2,ITAM,UC-0003,TST-FUNC-0010,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00191,N2,ITAM,UC-0003,TST-FUNC-0001,Test audit et test de corrélation trace/log/event.
REQ-00192,N1,ITAM,UC-0003,TST-FUNC-0002,"Test import/export, test file de messages et test reprise."
REQ-00193,N2,ITAM,UC-0003,TST-FUNC-0003,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00194,N2,ITAM,UC-0003,TST-FUNC-0004,Test audit et test de corrélation trace/log/event.
REQ-00195,N1,ITAM,UC-0003,TST-FUNC-0005,"Test import/export, test file de messages et test reprise."
REQ-00196,N1,SEC,UC-0004,TST-FUNC-0006,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00197,N1,SEC,UC-0004,TST-FUNC-0007,Test audit et test de corrélation trace/log/event.
REQ-00198,N2,SEC,UC-0004,TST-FUNC-0008,"Test import/export, test file de messages et test reprise."
REQ-00199,N1,SEC,UC-0004,TST-FUNC-0009,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00200,N1,SEC,UC-0004,TST-FUNC-0010,Test audit et test de corrélation trace/log/event.
REQ-00201,N2,SEC,UC-0004,TST-FUNC-0001,"Test import/export, test file de messages et test reprise."
REQ-00202,N1,SEC,UC-0004,TST-FUNC-0002,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00203,N1,SEC,UC-0004,TST-FUNC-0003,Test audit et test de corrélation trace/log/event.
REQ-00204,N2,SEC,UC-0004,TST-FUNC-0004,"Test import/export, test file de messages et test reprise."
REQ-00205,N1,SEC,UC-0004,TST-FUNC-0005,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00206,N1,SEC,UC-0004,TST-FUNC-0006,Test audit et test de corrélation trace/log/event.
REQ-00207,N2,SEC,UC-0004,TST-FUNC-0007,"Test import/export, test file de messages et test reprise."
REQ-00208,N1,SEC,UC-0004,TST-FUNC-0008,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00209,N1,SEC,UC-0004,TST-FUNC-0009,Test audit et test de corrélation trace/log/event.
REQ-00210,N2,SEC,UC-0004,TST-FUNC-0010,"Test import/export, test file de messages et test reprise."
REQ-00211,N1,SEC,UC-0004,TST-FUNC-0001,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00212,N1,SEC,UC-0004,TST-FUNC-0002,Test audit et test de corrélation trace/log/event.
REQ-00213,N2,SEC,UC-0004,TST-FUNC-0003,"Test import/export, test file de messages et test reprise."
REQ-00214,N1,SEC,UC-0004,TST-FUNC-0004,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00215,N1,SEC,UC-0004,TST-FUNC-0005,Test audit et test de corrélation trace/log/event.
REQ-00216,N2,SEC,UC-0004,TST-FUNC-0006,"Test import/export, test file de messages et test reprise."
REQ-00217,N2,API,UC-0002,TST-FUNC-0007,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00218,N2,API,UC-0002,TST-FUNC-0008,Test audit et test de corrélation trace/log/event.
REQ-00219,N2,API,UC-0002,TST-FUNC-0009,"Test import/export, test file de messages et test reprise."
REQ-00220,N2,API,UC-0002,TST-FUNC-0010,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00221,N2,API,UC-0002,TST-FUNC-0001,Test audit et test de corrélation trace/log/event.
REQ-00222,N2,API,UC-0002,TST-FUNC-0002,"Test import/export, test file de messages et test reprise."
REQ-00223,N2,API,UC-0002,TST-FUNC-0003,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00224,N2,API,UC-0002,TST-FUNC-0004,Test audit et test de corrélation trace/log/event.
REQ-00225,N2,API,UC-0002,TST-FUNC-0005,"Test import/export, test file de messages et test reprise."
REQ-00226,N2,API,UC-0002,TST-FUNC-0006,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00227,N2,API,UC-0002,TST-FUNC-0007,Test audit et test de corrélation trace/log/event.
REQ-00228,N2,API,UC-0002,TST-FUNC-0008,"Test import/export, test file de messages et test reprise."
REQ-00229,N2,API,UC-0002,TST-FUNC-0009,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00230,N2,API,UC-0002,TST-FUNC-0010,Test audit et test de corrélation trace/log/event.
REQ-00231,N2,API,UC-0002,TST-FUNC-0001,"Test import/export, test file de messages et test reprise."
REQ-00232,N2,API,UC-0002,TST-FUNC-0002,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00233,N2,API,UC-0002,TST-FUNC-0003,Test audit et test de corrélation trace/log/event.
REQ-00234,N2,API,UC-0002,TST-FUNC-0004,"Test import/export, test file de messages et test reprise."
REQ-00235,N2,AI,UC-0007,TST-FUNC-0005,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00236,N2,AI,UC-0007,TST-FUNC-0006,Test audit et test de corrélation trace/log/event.
REQ-00237,N2,AI,UC-0007,TST-FUNC-0007,"Test import/export, test file de messages et test reprise."
REQ-00238,N2,AI,UC-0007,TST-FUNC-0008,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00239,N2,AI,UC-0007,TST-FUNC-0009,Test audit et test de corrélation trace/log/event.
REQ-00240,N2,AI,UC-0007,TST-FUNC-0010,"Test import/export, test file de messages et test reprise."
REQ-00241,N2,AI,UC-0007,TST-FUNC-0001,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00242,N2,AI,UC-0007,TST-FUNC-0002,Test audit et test de corrélation trace/log/event.
REQ-00243,N2,AI,UC-0007,TST-FUNC-0003,"Test import/export, test file de messages et test reprise."
REQ-00244,N2,AI,UC-0007,TST-FUNC-0004,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00245,N2,AI,UC-0007,TST-FUNC-0005,Test audit et test de corrélation trace/log/event.
REQ-00246,N2,AI,UC-0007,TST-FUNC-0006,"Test import/export, test file de messages et test reprise."
REQ-00247,N2,AI,UC-0007,TST-FUNC-0007,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00248,N2,AI,UC-0007,TST-FUNC-0008,Test audit et test de corrélation trace/log/event.
REQ-00249,N2,AI,UC-0007,TST-FUNC-0009,"Test import/export, test file de messages et test reprise."
REQ-00250,N2,AI,UC-0007,TST-FUNC-0010,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00251,N2,AI,UC-0007,TST-FUNC-0001,Test audit et test de corrélation trace/log/event.
REQ-00252,N2,AI,UC-0007,TST-FUNC-0002,"Test import/export, test file de messages et test reprise."
REQ-00253,N2,AI,UC-0007,TST-FUNC-0003,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00254,N2,AI,UC-0007,TST-FUNC-0004,Test audit et test de corrélation trace/log/event.
REQ-00255,N2,AI,UC-0007,TST-FUNC-0005,"Test import/export, test file de messages et test reprise."
REQ-00256,N1,OPS,UC-0006,TST-FUNC-0006,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00257,N2,OPS,UC-0006,TST-FUNC-0007,Test audit et test de corrélation trace/log/event.
REQ-00258,N2,OPS,UC-0006,TST-FUNC-0008,"Test import/export, test file de messages et test reprise."
REQ-00259,N1,OPS,UC-0006,TST-FUNC-0009,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00260,N2,OPS,UC-0006,TST-FUNC-0010,Test audit et test de corrélation trace/log/event.
