id,title,actors,trigger,preconditions,main,errors,acceptance,domains
UC-0011,Gouvernance de la donnée et sources autoritatives,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Gouvernance de la donnée et sources autoritatives dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un attribut critique ne peut pas être déclaré sans règle de source autoritative; toute résolution de conflit est historisée avec acteur, preuve et justification",GOV
UC-0012,"Qualité, certification et réconciliation des données","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Qualité, certification et réconciliation des données dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque finding possède une preuve, une criticité, une règle source et un statut; la correction de masse exige un dry-run et un rapport avant application",DQ
UC-0013,"Flux réseau, matrices de flux et segmentation","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Flux réseau, matrices de flux et segmentation dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un flux déclaré contient source, destination, protocole, port, propriétaire et justification; les flux observés massifs sont stockés en tables partitionnées et agrégés",FLOW
UC-0014,"Certificats, PKI et secrets référencés","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Certificats, PKI et secrets référencés dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,aucun secret brut n’est renvoyé par API ou export; un certificat critique expirant sous seuil génère un événement et une alerte,CERT
UC-0015,Conformité réseau et configuration attendue,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Conformité réseau et configuration attendue dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"une dérive identifie règle, équipement, section, preuve et criticité; les configurations sensibles sont protégées contre exposition de secrets",NCFG
UC-0016,"FinOps, coûts, showback et chargeback","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine FinOps, coûts, showback et chargeback dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque coût importé conserve source, période, devise, propriétaire et méthode d’allocation; les rapports financiers sont reproductibles pour une période clôturée",FINOPS
UC-0017,Field Operations et mobilité datacenter,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Field Operations et mobilité datacenter dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,une fiche terrain ne peut pas être générée si la localisation obligatoire est incomplète; le mode offline ne stocke que le périmètre autorisé et expire automatiquement,FIELD
UC-0018,"Simulation, analyse d’impact et migration planning","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine Simulation, analyse d’impact et migration planning dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un scénario de simulation ne modifie jamais les données de production; un rapport d’impact référence les objets, relations et hypothèses utilisés",SIM
UC-0019,GreenOps et capacité énergétique,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine GreenOps et capacité énergétique dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"chaque estimation carbone indique facteur, source, période et périmètre; les mesures massives sont partitionnées et agrégées",GREEN
UC-0020,"SBOM, vulnérabilités et exposition contextualisée","Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif","Besoin d’exploiter le domaine SBOM, vulnérabilités et exposition contextualisée dans le référentiel OpenInfra.","Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un SBOM importé conserve format, hash, source, application, release et environnement; une vulnérabilité est contextualisée sans remplacer le scanner externe",SBOM
UC-0021,Kubernetes avancé et mapping cloud-native,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Kubernetes avancé et mapping cloud-native dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"un workload est rattachable à son service métier, son image, ses flux et son infrastructure sous-jacente; les secrets Kubernetes sont référencés sans exposition de valeur",K8S
UC-0022,Policy Engine et conformité continue,"Architecte entreprise, exploitant infrastructure, responsable sécurité, propriétaire applicatif",Besoin d’exploiter le domaine Policy Engine et conformité continue dans le référentiel OpenInfra.,"Utilisateur authentifié, tenant autorisé, données de référence initialisées, RBAC configuré.","L’utilisateur consulte les objets du domaine, lance une analyse contrôlée, vérifie les résultats, exporte ou publie les événements autorisés.",Droit insuffisant ; filtre trop large ; donnée source incohérente ; job asynchrone échoué avec reprise disponible.,"une politique possède version, portée, propriétaire, sévérité et critère d’évaluation; une exception ne peut pas être permanente sans justification renforcée",POLICY
